High Resolution Rapid Refresh (HRRR)
CONUS 2-D Fields
GRIB2 Table Documentation
09 Feb 2017
RecordNumber,MasterTableNumber,LocalTableNumber,DisciplineNumber,CategoryNumber,ParameterNumber,WGrib2Name,                                           NCLName,                                                                       FieldType,                                              VerticalLevels,               Units,
           1,                2,               1,               0,            16,            196,      REFC,                                  REFC_P0_L10_GLC0,                                                          Composite reflectivity,                                           entire atmosphere,                  dB,
           2,                2,               1,               0,            16,              3,     RETOP,                                  RETOP_P0_L3_GLC0,                                                                        Echo Top,                                                   cloud top,                   m,
           3,                2,               1,               0,            16,            201,       var,                          VAR_0_16_201_P0_L10_GLC0,                            Hydrometeor-Based Vertically-Integrated Liquid Water,                                           entire atmosphere,              kg/m^2,
           4,                2,               1,               0,            15,              3,       VIL,                                   VIL_P0_L10_GLC0,                              Radar-Simulated Vertically-Integrated Liquid Water,                                           entire atmosphere,              kg/m^2,
           5,                2,               1,               0,            19,              0,       VIS,                                    VIS_P0_L1_GLC0,                                                                      Visibility,                                                     surface,                   m,
           6,                2,               1,               0,            16,            195,      REFD,                                  REFD_P0_L20_GLC0,                                                                    Reflectivity,                                         1000 m above ground,                  dB,
           7,                2,               1,               0,            16,            195,      REFD,                                  REFD_P0_L20_GLC0,                                                                    Reflectivity,                                         4000 m above ground,                  dB,
           8,                2,               1,               0,            16,            195,      REFD,                                  REFD_P0_L20_GLC0,                                                                    Reflectivity,                                                 263 K level,                  dB,
           9,                2,               1,               0,             2,             22,      GUST,                                   GUST_P0_L1_GLC0,                                                               Wind Speed (Gust),                                                     surface,                 m/s,
          10,                2,               1,               0,             2,              9,      DZDT,                                 DZDT_P0_L100_GLC0,                                                   Vertical Velocity (Geometric),                                                      700 mb,                 m/s,
          11,                2,               1,               0,             2,            220,    MAXUVV,                        MAXUVV_P8_2L108_GLC0_max1h,                Hourly Maximum of Upward Vertical Velocity  in the lowest 400hPa,                                    400-1000 mb above ground,                 m/s,
          12,                2,               1,               0,             2,            221,    MAXDVV,                        MAXDVV_P8_2L108_GLC0_max1h,              Hourly Maximum of Downward Vertical Velocity  in the lowest 400hPa,                                    400-1000 mb above ground,                 m/s,
          13,                2,               1,               0,             2,              9,      DZDT,                                 DZDT_P0_L100_GLC0,                                    Hourly Average Vertical Velocity (Geometric),                                         0.5-0.8 sigma layer,                 m/s,
          14,                2,               1,               0,             3,            198,     MSLMA,                                MSLMA_P0_L101_GLC0,                                                    MSLP (MAPS System Reduction),                                              mean sea level,                  Pa,
