High Resolution Rapid Refresh (HRRR)
NCEP Version
CONUS 2-D Fields
GRIB2 Table Documentation
12 Aug 2014

RecordNumber,	TableNumber,	DisciplineNumber,	CategoryNumber,	ParameterNumber,	WGrib2Name,	NCLName,			FieldType,			Description,													Units,
1,		0,		0,			16,		196,			REFC,		REFC_P0_L10_GLC0,		Composite Reflectivity,		Maximum reflectivity in model column,										dBZ,
2,		0,		0,			16,		3,			RETOP,		RETOP_P0_L3_GLC0,		Echo Top,			Echo top height of 18dBZ surface,										m,
3,		0,		0,			15,		3,			VIL,		VERIL_P0_L10_GLC0,		VIL,				Vertically integrated liquid,											kg/m^2,
4,		0,		0,			19,		0,			VIS,		VIS_P0_L1_GLC0,			Visibility,			Surface visibility,												m,
5,		0,		0,			16,		195,			REFD,		REFD_P0_L103_GLC0,		Reflectivity,			Reflectivity at 1 km above ground level,									dBZ,
6,		0,		0,			16,		195,			REFD,		REFD_P0_L103_GLC0,		Reflectivity,			Reflectivity at 4 km above ground level,									dBZ,
7,		0,		0,			2,		22,			GUST,		GUST_P0_L1_GLC0,		Wind,				Wind gust speed at 10 m above ground level,									m/s,
8,		0,		0,			3,		5,			HGT,		HGT_P0_L100_GLC0,		Geopotential Height,		Geopotential height of 500 hPa surface,										m,
9,		0,		0,			0,		0,			TMP,		TMP_P0_L100_GLC0,		Temperature,			Temperature at 500 hPa surface,											K,
10,		0,		0,			0,		6,			DPT,		DPT_P0_L100_GLC0,		Dewpoint,			Dewpoint temperature at 500 hPa surface,									K,
11,		0,		0,			2,		2,			UGRD,		UGRD_P0_L100_GLC0,		Wind,				U-component of wind at 500 hPa surface,										m/s,
12,		0,		0,			2,		3,			VGRD,		VGRD_P0_L100_GLC0,		Wind,				V-component of wind at 500 hPa surface,										m/s,
13,		0,		0,			3,		5,			HGT,		HGT_P0_L100_GLC0,		Geopotential Height,		Geopotential height of 700 hPa surface,										m,
14,		0,		0,			0,		0,			TMP,		TMP_P0_L100_GLC0,		Temperature,			Temperature at 700 hPa surface,											K,
15,		0,		0,			0,		6,			DPT,		DPT_P0_L100_GLC0,		Dewpoint,			Dewpoint temperature at 700 hPa surface,									K,
16,		0,		0,			2,		2,			UGRD,		UGRD_P0_L100_GLC0,		Wind,				U-component of wind at 700 hPa surface,										m/s,
17,		0,		0,			2,		3,			VGRD,		VGRD_P0_L100_GLC0,		Wind,				V-component of wind at 700 hPa surface,										m/s,
18,		0,		0,			3,		5,			HGT,		HGT_P0_L100_GLC0,		Geopotential Height,		Geopotential height of 850 hPa surface,										m,
19,		0,		0,			0,		0,			TMP,		TMP_P0_L100_GLC0,		Temperature,			Temperature at 850 hPa surface,											K,
