Horel Pando Archvie,,,,
Managed by Brian Blaylock,,,,
Email: blaylockbk@gmail.com,,,,
Allocation: 120 TB,,,,
Numbers below in Gigabytes,,,,
,,,,
DATE,GOES,hrrr,hrrrX,hrrrAK
12/20/2017,2226.64,45237.11,0,0
12/28/2017,2226.64,45237.11,0,0
12/28/2017,0,0,0,0
2/9/2018,73.74,2751.99,63.17,77.06
2/10/2018,81.54,2778.37,64.45,84.25
2/11/2018,96.88,2828.62,66.39,84.7
2/12/2018,116.85,2921.24,70.71,85.44
2/14/2018,188.59,3040.41,76.34,86.49
2/15/2018,236.79,3106.43,79.46,87.05
2/16/2018,488.17,3170.46,82,87.6
2/17/2018,1142.08,3233.63,84.76,88.08
2/18/2018,1156.36,3297.15,87.36,88.63
2/19/2018,1171.38,3362.6,89.62,89.17
2/20/2018,1186.69,3429.41,92.33,89.72
2/21/2018,1377.73,3494.79,92.83,89.72
2/22/2018,1473.59,3560.21,95.83,90.2
2/23/2018,1701.24,6669.78,98.83,90.73
2/24/2018,2137.53,8807.61,101.22,91.27
2/25/2018,2152.64,8872.07,101.35,91.4
2/26/2018,2167.53,8936.03,102.57,91.8
2/27/2018,2554.71,15527.77,105.01,92.34
2/28/2018,2786.32,23024.02,107.74,92.88
3/1/2018,2872.5,26740.56,107.86,92.88
3/2/2018,3386.88,33195.62,113.2,93.83
3/3/2018,3397.62,37235.23,115.28,94.23
3/4/2018,3412.32,37299.24,117.49,94.77
3/5/2018,3433.66,37575.04,121.12,95.5
3/6/2018,3436.65,37746.85,121.5,95.57
3/7/2018,3449.89,37928.87,126.59,96.51
3/8/2018,3458.18,37966.14,128.16,96.78
3/9/2018,3473.93,38029.28,130.75,97.27
3/10/2018,3489.87,38091.93,133.47,97.7
3/11/2018,3504.51,38147.99,136.1,98.11
3/12/2018,3519.89,38216.54,139.1,98.44
3/13/2018,3535.4,38279.53,141.81,98.97
3/14/2018,3550.83,38343.04,144.61,99.51
3/15/2018,3566.38,38407.09,147.34,100.04
3/16/2018,3581.88,38471.14,150.08,100.59
3/17/2018,3592.76,38534.77,152.81,101.13
3/18/2018,3612.37,38598.19,155.54,101.67
3/19/2018,3628.14,38661.02,157.24,102.07
3/20/2018,3643.38,38722.97,159.93,102.59
3/21/2018,3658.4,38785.53,160.29,102.66
